,mID,mName,mYrank,mStudio,openWkdate,DURrelease,openDTheatre,openDGross,totalDTheatre,PD_budget,totalDGross,W_gross,F_gross,Genre,mv_runtime,mv_Dir,mv_Prod,mv_Comp,OscarNom,OscarInfoURL,D_Profit,W_Profit
88,hailcaesar,"Hail, Caesar!",59,universal,2016-02-05,49.0,2232.0,11355225.0,2248.0,22000000,30080225,64063475,33983250,Comedy,100.0,,,['Carter Burwell'],0,,8080225,42063475
89,janegotagun,Jane Got a Gun,148,weinsteincompany,2016-01-29,28.0,1210.0,835572.0,1210.0,25000000,1513793,2962177,1448384,Western,98.0,"[""Gavin O'Connor""]",['Natalie Portman'],,0,,-23486207,-22037823
90,kungfupanda3,Kung Fu Panda 3,12,fox,2016-01-29,175.0,3955.0,41282042.0,3987.0,140000000,143528619,518628619,375100000,Animation,95.0,,,['Hans Zimmer'],0,,3528619,378628619
91,fiftyshadesofblack,Fifty Shades of Black,90,openroads,2016-01-29,56.0,2075.0,5900528.0,2075.0,5000000,11686940,20765083,9078143,Comedy,92.0,['Michael Tiddes'],,,0,,6686940,15765083
92,finesthours,The Finest Hours,61,buenavista,2016-01-29,70.0,3143.0,10288932.0,3143.0,70000000,27569558,48197252,20627694,Thriller,109.0,['Craig Gillespie'],,['Carter Burwell'],0,,-42430442,-21802748
93,monsterhunt,Monster Hunt,359,filmrise,2016-01-22,7.0,45.0,21074.0,45.0,56000000,32766,386096060,386063294,Action Fantasy,111.0,,,,0,,-55967234,330096060
94,boy2016,The Boy (2016),54,stx,2016-01-22,70.0,2671.0,10778392.0,2671.0,10000000,35819556,68220952,32401396,Horror,98.0,['William Brent Bell'],,,0,,25819556,58220952
95,dirtygrandpa,Dirty Grandpa,55,lionsgate,2016-01-22,56.0,2912.0,11111875.0,2912.0,11500000,35593113,99930262,64337149,Comedy,102.0,,,,0,,24093113,88430262
96,ipman3,Ip Man 3,132,wellgo,2016-01-22,38.0,103.0,784839.0,115.0,36000000,2679437,156835197,154155760,Action,105.0,,,,0,,-33320563,120835197
97,5thwave,The 5th Wave,56,sony,2016-01-22,122.0,2908.0,10326356.0,2908.0,38000000,34912982,110678636,75765654,Sci-Fi Action,112.0,,,['Henry Jackman'],0,,-3087018,72678636
98,normofthenorth,Norm of the North,80,lionsgate,2016-01-15,63.0,2411.0,6844137.0,2411.0,18000000,17062499,27426111,10363612,Animation,90.0,,,,0,,-937501,9426111
99,ridealong2,Ride Along 2,22,universal,2016-01-15,84.0,3175.0,35243095.0,3192.0,40000000,90862685,124246152,33383467,Action Comedy,101.0,['Tim Story'],,,0,,50862685,84246152
100,13hoursthesecretsoldiersofbenghazi,13 Hours: The Secret Soldiers of Benghazi,42,paramount,2016-01-15,70.0,2389.0,16194738.0,2917.0,50000000,52853219,68053219,15200000,Drama,144.0,['Michael Bay'],,,0,,2853219,18053219
101,themaskedsaint,The Masked Saint,224,fs,2016-01-08,14.0,482.0,123839.0,482.0,3500000,182695,182695,0,Drama,105.0,,,,0,,-3317305,-3317305
102,forest,The Forest,64,focus,2016-01-08,70.0,2451.0,12741176.0,2509.0,10000000,26594261,39803818,13209557,Horror,95.0,,,,0,,16594261,29803818
103,anomalisa,Anomalisa,156,paramount,2015-12-30,86.0,4.0,135222.0,573.0,8000000,3759286,5531455,1772169,Animation,90.0,,,['Carter Burwell'],1,/oscar/movies/?id=anomalisa.htm,-4240714,-2468545
104,concussion2015,Concussion (2015),75,sony,2015-12-25,84.0,2841.0,10513749.0,2841.0,35000000,34531832,50363790,15831958,Drama,123.0,['Peter Landesman'],['Ridley Scott'],['James Newton Howard'],0,,-468168,15363790
105,joy,Joy,52,fox,2015-12-25,84.0,2896.0,17015168.0,2924.0,60000000,56451232,100751232,44300000,Comedy / Drama,124.0,['David O. Russell'],,['Danny Elfman'],1,/oscar/movies/?id=joy.htm,-3548768,40751232
106,thehatefuleight,The Hateful Eight,54,weinsteincompany,2015-12-25,126.0,100.0,4610676.0,2938.0,62000000,54117416,145478036,91360620,Western,167.0,['Quentin Tarantino'],,['Ennio Morricone'],1,/oscar/movies/?id=thehatefuleight.htm,-7882584,83478036
107,daddyshome,Daddy's Home,22,paramount,2015-12-25,105.0,3271.0,38740203.0,3483.0,50000000,150357137,238757137,88400000,Comedy,96.0,['Sean Anders'],,,0,,100357137,188757137
108,pointbreak2015,Point Break (2015),85,warnerbros,2015-12-25,63.0,2910.0,9800252.0,2910.0,100000000,28782481,128131571,99349090,Action,113.0,,,['Junkie XL'],0,,-71217519,28131571
109,revenant,The Revenant,13,fox,2015-12-25,154.0,4.0,474560.0,3711.0,135000000,183637894,532950503,349312609,Action / Adventure,151.0,['Alejandro González Iñárritu'],,,1,/oscar/movies/?id=revenant.htm,48637894,397950503
110,nest,Sisters,34,universal,2015-12-18,84.0,2962.0,13922855.0,2978.0,30000000,87044645,106030660,18986015,Comedy,118.0,['Jason Moore'],,['Christophe Beck'],0,,57044645,76030660
111,alvin4,Alvin and the Chipmunks: The Road Chip,35,fox,2015-12-18,154.0,3653.0,14287159.0,3705.0,90000000,85886987,235296080,149409093,Family Comedy,86.0,,,,0,,-4113013,145296080
112,starwars7,Star Wars: The Force Awakens,1,buenavista,2015-12-18,168.0,4134.0,247966675.0,4134.0,306000000,936662225,2058662225,1122000000,Sci-Fi Fantasy,136.0,['J.J. Abrams'],,['John Williams'],1,/oscar/movies/?id=starwars7.htm,630662225,1752662225
113,heartofthesea,In the Heart of the Sea,95,warnerbros,2015-12-11,63.0,3103.0,11053366.0,3103.0,100000000,25020758,90420758,65400000,Drama,121.0,['Ron Howard'],,,0,,-74979242,-9579242
114,bigshort,The Big Short,44,paramount,2015-12-11,119.0,8.0,705527.0,2529.0,28000000,70259870,131459870,61200000,Drama,130.0,['Adam McKay'],,,1,/oscar/movies/?id=bigshort.htm,42259870,103459870
115,krampus,Krampus,67,universal,2015-12-04,49.0,2902.0,16293325.0,2919.0,15000000,42725475,61788393,19062918,Horror Comedy,98.0,['Michael Dougherty'],,,0,,27725475,46788393
116,pixar2013,The Good Dinosaur,26,buenavista,2015-11-25,135.0,3749.0,39155217.0,3749.0,187500000,123087120,334354269,211267149,Animation,100.0,['Peter Sohn'],,,0,,-64412880,146854269
117,creed,Creed,29,wb-newline,2015-11-25,100.0,3404.0,29632823.0,3502.0,37000000,109767581,173567581,63800000,Drama,133.0,['Ryan Coogler'],,,1,/oscar/movies/?id=creed.htm,72767581,136567581
118,xmas2015,The Night Before,66,sony,2015-11-20,56.0,2960.0,9880536.0,2960.0,25000000,43035725,52427346,9391621,Comedy,101.0,['Jonathan Levine'],,,0,,18035725,27427346
119,secretintheireyes2015,The Secret in their Eyes (2015),101,stx,2015-11-20,56.0,2392.0,6652996.0,2392.0,20000000,20180155,30808558,10628403,Thriller,111.0,['Billy Ray'],,,0,,180155,10808558
120,hungergames4,The Hunger Games: Mockingjay - Part 2,7,lionsgate,2015-11-20,98.0,4175.0,102665981.0,4175.0,160000000,281723902,650523427,368799525,Action / Adventure,137.0,['Francis Lawrence'],,['James Newton Howard'],0,,121723902,490523427
121,33,The 33,123,warnerbros,2015-11-13,70.0,2452.0,5787266.0,2452.0,25000000,12227722,28090896,15863174,Drama,120.0,,,['James Horner'],0,,-12772278,3090896
122,myallamerican,My All American,180,clarius,2015-11-13,17.0,1565.0,1365000.0,1565.0,20000000,2246000,2246000,0,Drama,118.0,['Angelo Pizzo'],[],['John Paesano'],0,,-17754000,-17754000
123,heist2015,Heist (2015),437,lionsgatepremiere,2015-11-13,14.0,24.0,28688.0,24.0,8900000,50136,3324184,3274048,Action Thriller,93.0,,,,0,,-8849864,-5575816
124,bythesea,By the Sea,253,universal,2015-11-13,28.0,10.0,96250.0,142.0,20000000,538460,3445926,2907466,Drama,122.0,['Angelina Jolie'],,,0,,-19461540,-16554074
125,lovethecoopers,Love the Coopers,92,lionsgate,2015-11-13,63.0,2603.0,8317545.0,2603.0,18000000,26302731,42167286,15864555,Comedy,107.0,['Jessie Nelson'],,,0,,8302731,24167286
126,10daysinamadhouse,10 Days in a Madhouse,547,cafe,2015-11-11,12.0,1.0,4773.0,10.0,12000000,14616,14616,0,Drama,111.0,,,,0,,-11985384,-11985384
127,bond24,Spectre,10,sony,2015-11-06,154.0,3929.0,70403148.0,3929.0,300000000,200074175,879620923,679546748,Action,148.0,['Sam Mendes'],,['Thomas Newman'],1,/oscar/movies/?id=bond24.htm,-99925825,579620923
128,peanuts2015,The Peanuts Movie,24,fox,2015-11-06,147.0,3897.0,44213073.0,3902.0,99000000,130178411,244778411,114600000,Animation,93.0,,,['Christophe Beck'],0,,31178411,145778411
129,spotlight,Spotlight,62,openroads,2015-11-06,182.0,5.0,295009.0,1227.0,20000000,45055776,90206716,45150940,Drama,128.0,['Tom McCarthy'],,['Howard Shore'],1,/oscar/movies/?id=spotlight.htm,25055776,70206716
