,budgetListIDX,budgetListName,bLnameLength,MvName,mvNameLength,maxFuzzRatioIDX,maxFuzzRatio,maxFuzzSetRatioIDX,maxFuzzSetRatio,budgetListMvReleaseYR,MvReleaseYR
226,226,The Timber,10,The Tribe,9,879,84,879,84,2015,2015.0
227,227,The Martian,11,The Martian,11,535,100,535,100,2015,2015.0
228,228,Shanghai,8,Shanghai,8,971,100,971,100,2015,2015.0
229,229,Freeheld,8,Freeheld,8,775,100,775,100,2015,2015.0
230,230,The Walk,8,A Walk in the Woods,19,654,100,611,100,2015,2015.0
231,231,R.L. Stine's Monsterville: The Cabinet of Souls,47,Best of the Best,16,7316,54,12592,71,2015,1989.0
232,232,Signed Sealed Delivered,23,Stand and Deliver,17,12750,70,12750,60,2015,1988.0
233,233,Theresa Is a Mother,19,The Mother,10,7559,69,7559,75,2015,2004.0
234,234,Queen Crab,10,The Queen,9,11404,64,6241,71,2015,2006.0
235,235,A Plague So Pleasant,20,Maggie's Plan,13,4271,57,121,61,2015,2016.0
236,236,"Me, You and Five Bucks",22,Me You and Five Bucks,21,1204,98,1204,100,2015,2015.0
237,237,The Green Inferno,17,The Green Inferno,17,665,100,665,100,2015,2015.0
238,238,The Intern,10,The Intern,10,568,100,568,100,2015,2015.0
239,239,Hotel Transylvania 2,20,Hotel Transylvania 2,20,543,100,543,100,2015,2015.0
240,240,Navy SEAL vs. Zombies,21,Navy Seals,10,12265,52,12265,67,2015,1990.0
241,241,Captive,7,Captive (2015),14,1438,78,700,100,2015,2015.0
242,242,La navaja de Don Juan,21,La Navaja de Don Juan,21,1180,95,1180,100,2015,2015.0
243,243,Everest,7,Everest (2015),14,592,67,592,100,2015,2015.0
244,244,Maze Runner: The Scorch Trials,30,Maze Runner: The Scorch Trials,30,563,100,563,100,2015,2015.0
245,245,Black Mass,10,Black Mass,10,576,100,576,100,2015,2015.0
246,246,Sicario,7,Sicario,7,587,100,587,100,2015,2015.0
247,247,The Perfect Guy,15,The Perfect Guy,15,578,100,578,100,2015,2015.0
248,248,90 Minutes in Heaven,20,90 Minutes in Heaven,20,676,100,676,100,2015,2015.0
249,249,The Visit,9,The Visit,9,574,100,574,100,2015,2015.0
250,250,Chain of Command,16,Chasing Madoff,14,9719,67,3600,73,2015,2011.0
251,251,Checkmate,9,Chocolate,9,4871,67,4871,67,2015,2009.0
252,252,Before We Go,12,Before We Go,12,991,100,991,100,2015,2015.0
253,253,Tian jiang xiong shi,20,Devil and Angel (E Gun Tian Shi),32,6578,56,891,60,2015,2015.0
254,254,The Transporter Refueled,24,The Transporter Refueled,24,637,100,637,100,2015,2015.0
255,255,Heroes of Dirt,14,The Blood of Heroes,19,7058,67,12408,78,2015,1990.0
256,256,Broken Horses,13,Broken Sky,10,6493,74,6641,75,2015,2006.0
257,257,Alpha & Omega: The Legend of the Saw Tooth Cave,47,Legend,6,14080,58,714,100,2015,2015.0
258,258,Backmask,8,Black Mask,10,9712,78,9712,89,2015,1999.0
259,259,Lords of London,15,London,6,6932,77,6673,100,2015,2006.0
